CAS-8B;;;2405.100 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8B;;;2405.100 ;;192kbps GMSK image data;;to be launched
CAS-8B;;;2405.300 ;;Inter-satellite link;;to be launched
CAS-8C;;145.875-145.905;435.660-435.630;;VHF/UHF SSB;;to be launched
CAS-8C;;;;435.585 ;UHF CW;;to be launched
CAS-8C;;;435.775 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8C;;;2405.300 ;;Inter-satellite link;;to be launched
CAS-8D;;145.910-145.940;435.695-435.665;;VHF/UHF SSB;;to be launched
CAS-8D;;;;435.590 ;UHF CW;;to be launched
CAS-8D;;;435.800 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8D;;;2405.300 ;;Inter-satellite link;;to be launched
CAS-9;50466;145.855-145.885;435.195-435.165;;VHF/UHF SSB*;;active
CAS-9;50466;145.985;435.725 ;;4k8*GMSK image data;CAS9;active
CAS-9;50466;;;435.575 ;UHF CW*;;active
CAS-10;54816;145.870 ;435.180 ;;VHF/UHF SSB bandwidth 30kHz;;re-entered
CAS-10;54816;;435.725 ;;4K8 GMSK telemetry;CAS10;re-entered
CAS-10;54816;;;435.575 ;DTMF_camera CW;;re-entered
CatSat;;;437.185/10470.000;;9k6/38k4GMSK;;to be launched
CELESTA;53111;;436.500 ;FX6FRB;1k2AFSK 2k4*/9k6GMSK;;inactive
Centauri-1;43809;;400.625 ;;9600bps FSK;;inactive
Centauri-2;43722;;400.625 ;;9600bps FSK;;inactive
Centauri-3;47966;;400.180 ;;9600bps FSK;;active
Centauri-4;48898;;400.180 ;;FM;;active
Centauri-5;52742;;;;;;unknown
Challenger;42721;;437.510 ;;9600bps GMSK;QBUS01;re-entered
Challenger;51073;;401.300 ;;2400bps AFSK;;inactive
ChargerSat-1;39405;;437.405 ;;9600bps FSK;;re-entered
Chasqui-1;40117;;437.025 ;;1k2AFSK/9k6GMSK;;inactive
CHOMPTT;43855;;437.560 ;;1k2*AFSK/9k6GMSK;WI2XVT;active
ChubuSat-1;40300;145.980 ;437.485 ;437.485 ;1200bps 9600bps CW;JJ2YJY;inactive
ChubuSat-2;41338;145.815 ;437.100 ;437.102 ;1k2 AFSK 9k6 GMSK CW;JJ2YPN;inactive
ChubuSat-3;41339;145.840 ;437.425 ;437.424 ;1k2 AFSK 9k6 GMSK CW;JJ2YPO;inactive
CLICK-A;;;;;;;unknown
Cliff;43770;435.300/1267.300;145.920 ;145.920 ;FM CTCSS 67.0Hz/200bps DUV;;inactive
CNUSail-1;43133;;437.100 ;;9600bps GMSK;;unknown
Columbia;42702;;437.055 ;;9600bps GMSK;KD8CJT;inactive
COMPASS-1;32787;;437.405 ;437.275 ;1200bps AFSK CW;DP0COM;inactive
